"","Date","LUATTRUU.Index"
"797",1997-02-25,"823.34"
"798",1997-02-26,"817.22"
"799",1997-02-27,"816.56"
"800",1997-02-28,"817.58"
"801",1997-03-03,"816.83"
"802",1997-03-04,"815.76"
"803",1997-03-05,"816.25"
"804",1997-03-06,"815.11"
"805",1997-03-07,"817.23"
"806",1997-03-10,"817.72"
"807",1997-03-11,"817.56"
"808",1997-03-12,"816.58"
"809",1997-03-13,"812.41"
"810",1997-03-14,"813.80"
"811",1997-03-17,"813.56"
"812",1997-03-18,"813.39"
"813",1997-03-19,"812.74"
"814",1997-03-20,"812.90"
"815",1997-03-21,"812.98"
"816",1997-03-24,"814.21"
"817",1997-03-25,"813.07"
"818",1997-03-26,"812.08"
"819",1997-03-27,"808.49"
"820",1997-03-31,"808.74"
"821",1997-04-01,"809.70"
"822",1997-04-02,"810.18"
"823",1997-04-03,"810.67"
"824",1997-04-04,"808.65"
"825",1997-04-07,"811.07"
"826",1997-04-08,"810.27"
"827",1997-04-09,"810.35"
"828",1997-04-10,"810.27"
"829",1997-04-11,"807.84"
"830",1997-04-14,"808.24"
"831",1997-04-15,"811.72"
"832",1997-04-16,"811.15"
"833",1997-04-17,"812.85"
"834",1997-04-18,"813.58"
"835",1997-04-21,"812.77"
"836",1997-04-22,"814.15"
"837",1997-04-23,"812.93"
"838",1997-04-24,"811.48"
"839",1997-04-25,"810.99"
"840",1997-04-28,"812.37"
"841",1997-04-29,"818.27"
"842",1997-04-30,"820.35"
"843",1997-05-01,"821.24"
"844",1997-05-02,"822.14"
"845",1997-05-05,"822.88"
"846",1997-05-06,"822.88"
"847",1997-05-07,"820.26"
"848",1997-05-08,"822.06"
"849",1997-05-09,"824.03"
"850",1997-05-12,"825.26"
"851",1997-05-13,"823.13"
"852",1997-05-14,"824.44"
"853",1997-05-15,"825.34"
"854",1997-05-16,"824.19"
"855",1997-05-19,"824.23"
"856",1997-05-20,"824.78"
"857",1997-05-21,"823.54"
"858",1997-05-22,"822.86"
"859",1997-05-23,"823.37"
"860",1997-05-27,"822.24"
"861",1997-05-28,"822.09"
"862",1997-05-29,"824.01"
"863",1997-05-30,"827.44"
"864",1997-06-02,"827.86"
"865",1997-06-03,"829.21"
"866",1997-06-04,"829.18"
"867",1997-06-05,"829.20"
"868",1997-06-06,"833.54"
"869",1997-06-09,"831.81"
"870",1997-06-10,"831.49"
"871",1997-06-11,"831.81"
