"","Date","MXEA.Index"
"557",1992-02-17,"822.64"
"558",1992-02-18,"811.28"
"559",1992-02-19,"803.55"
"560",1992-02-20,"803.48"
"561",1992-02-21,"812.68"
"562",1992-02-24,"809.16"
"563",1992-02-25,"806.72"
"564",1992-02-26,"811.61"
"565",1992-02-27,"817.90"
"566",1992-02-28,"817.86"
"567",1992-03-02,"820.02"
"568",1992-03-03,"808.04"
"569",1992-03-04,"803.36"
"570",1992-03-05,"792.25"
"571",1992-03-06,"790.92"
"572",1992-03-09,"787.80"
"573",1992-03-10,"787.89"
"574",1992-03-11,"776.58"
"575",1992-03-12,"768.88"
"576",1992-03-13,"769.02"
"577",1992-03-16,"761.70"
"578",1992-03-17,"766.35"
"579",1992-03-18,"761.98"
"580",1992-03-19,"766.94"
"581",1992-03-20,"761.78"
"582",1992-03-23,"764.05"
"583",1992-03-24,"763.48"
"584",1992-03-25,"767.61"
"585",1992-03-26,"768.45"
"586",1992-03-27,"762.53"
"587",1992-03-30,"763.53"
"588",1992-03-31,"762.62"
"589",1992-04-01,"739.67"
"590",1992-04-02,"734.92"
"591",1992-04-03,"737.26"
"592",1992-04-06,"744.14"
"593",1992-04-07,"732.54"
"594",1992-04-08,"716.04"
"595",1992-04-09,"711.49"
"596",1992-04-10,"749.69"
"597",1992-04-13,"741.56"
"598",1992-04-14,"748.60"
"599",1992-04-15,"760.38"
"600",1992-04-16,"757.19"
"601",1992-04-17,"753.73"
"602",1992-04-20,"746.29"
"603",1992-04-21,"743.97"
"604",1992-04-22,"746.61"
"605",1992-04-23,"754.85"
"606",1992-04-24,"759.79"
"607",1992-04-27,"762.74"
"608",1992-04-28,"763.18"
"609",1992-04-29,"764.60"
"610",1992-04-30,"764.95"
"611",1992-05-01,"766.66"
"612",1992-05-04,"769.75"
"613",1992-05-05,"769.95"
"614",1992-05-06,"781.87"
"615",1992-05-07,"791.52"
"616",1992-05-08,"787.66"
"617",1992-05-11,"792.49"
"618",1992-05-12,"795.21"
"619",1992-05-13,"806.53"
"620",1992-05-14,"804.76"
"621",1992-05-15,"791.03"
"622",1992-05-18,"806.13"
"623",1992-05-19,"811.17"
"624",1992-05-20,"811.23"
"625",1992-05-21,"805.13"
"626",1992-05-22,"803.35"
"627",1992-05-25,"809.21"
"628",1992-05-26,"807.63"
"629",1992-05-27,"792.69"
"630",1992-05-28,"795.62"
"631",1992-05-29,"814.85"
"632",1992-06-01,"810.71"
"633",1992-06-02,"809.33"
"634",1992-06-03,"807.44"
"635",1992-06-04,"804.16"
"636",1992-06-05,"804.75"
"637",1992-06-08,"800.83"
"638",1992-06-09,"801.29"
"639",1992-06-10,"797.40"
"640",1992-06-11,"796.31"
"641",1992-06-12,"795.31"
"642",1992-06-15,"787.58"
"643",1992-06-16,"790.45"
"644",1992-06-17,"778.47"
"645",1992-06-18,"769.22"
"646",1992-06-19,"775.39"
"647",1992-06-22,"764.51"
"648",1992-06-23,"770.35"
"649",1992-06-24,"766.23"
"650",1992-06-25,"779.48"
"651",1992-06-26,"772.55"
"652",1992-06-29,"774.55"
"653",1992-06-30,"774.89"
"654",1992-07-01,"783.40"
"655",1992-07-02,"794.49"
"656",1992-07-03,"792.43"
"657",1992-07-06,"789.72"
"658",1992-07-07,"789.35"
"659",1992-07-08,"786.29"
"660",1992-07-09,"786.21"
"661",1992-07-10,"785.86"
"662",1992-07-13,"796.26"
"663",1992-07-14,"794.61"
"664",1992-07-15,"797.33"
"665",1992-07-16,"795.08"
"666",1992-07-17,"786.42"
"667",1992-07-20,"770.42"
"668",1992-07-21,"755.32"
"669",1992-07-22,"745.35"
"670",1992-07-23,"750.85"
"671",1992-07-24,"737.40"
"672",1992-07-27,"735.78"
"673",1992-07-28,"741.60"
"674",1992-07-29,"742.49"
"675",1992-07-30,"744.40"
"676",1992-07-31,"753.70"
"677",1992-08-03,"752.60"
"678",1992-08-04,"751.20"
"679",1992-08-05,"753.69"
"680",1992-08-06,"748.43"
"681",1992-08-07,"741.94"
"682",1992-08-10,"728.99"
"683",1992-08-11,"720.33"
"684",1992-08-12,"717.68"
"685",1992-08-13,"719.99"
"686",1992-08-14,"726.10"
"687",1992-08-17,"731.59"
"688",1992-08-18,"720.42"
"689",1992-08-19,"723.12"
"690",1992-08-20,"734.80"
"691",1992-08-21,"756.34"
"692",1992-08-24,"774.57"
"693",1992-08-25,"761.37"
"694",1992-08-26,"764.31"
"695",1992-08-27,"782.40"
"696",1992-08-28,"797.87"
"697",1992-08-31,"799.58"
"698",1992-09-01,"796.60"
"699",1992-09-02,"793.96"
"700",1992-09-03,"813.64"
"701",1992-09-04,"816.38"
"702",1992-09-07,"813.89"
"703",1992-09-08,"810.12"
"704",1992-09-09,"811.02"
"705",1992-09-10,"807.31"
"706",1992-09-11,"790.09"
"707",1992-09-14,"790.77"
"708",1992-09-15,"792.15"
"709",1992-09-16,"768.24"
"710",1992-09-17,"773.59"
"711",1992-09-18,"779.62"
"712",1992-09-21,"776.08"
"713",1992-09-22,"788.41"
"714",1992-09-23,"784.73"
"715",1992-09-24,"792.53"
"716",1992-09-25,"789.18"
"717",1992-09-28,"783.69"
"718",1992-09-29,"785.92"
"719",1992-09-30,"782.45"
"720",1992-10-01,"779.24"
"721",1992-10-02,"773.98"
"722",1992-10-05,"760.00"
"723",1992-10-06,"758.66"
"724",1992-10-07,"761.54"
"725",1992-10-08,"757.29"
"726",1992-10-09,"751.97"
"727",1992-10-12,"758.10"
"728",1992-10-13,"765.80"
"729",1992-10-14,"766.58"
"730",1992-10-15,"770.03"
"731",1992-10-16,"763.01"
"732",1992-10-19,"753.76"
"733",1992-10-20,"749.13"
"734",1992-10-21,"754.55"
"735",1992-10-22,"758.02"
"736",1992-10-23,"756.05"
"737",1992-10-26,"748.22"
"738",1992-10-27,"749.87"
"739",1992-10-28,"747.22"
"740",1992-10-29,"740.49"
"741",1992-10-30,"740.17"
"742",1992-11-02,"735.77"
"743",1992-11-03,"744.34"
"744",1992-11-04,"747.29"
"745",1992-11-05,"741.26"
"746",1992-11-06,"736.83"
"747",1992-11-09,"727.88"
"748",1992-11-10,"727.05"
"749",1992-11-11,"727.26"
"750",1992-11-12,"730.33"
"751",1992-11-13,"732.12"
"752",1992-11-16,"721.40"
"753",1992-11-17,"715.30"
"754",1992-11-18,"730.45"
"755",1992-11-19,"736.90"
"756",1992-11-20,"734.62"
"757",1992-11-23,"729.69"
"758",1992-11-24,"730.78"
"759",1992-11-25,"738.11"
"760",1992-11-26,"740.47"
"761",1992-11-27,"739.70"
"762",1992-11-30,"745.94"
"763",1992-12-01,"742.84"
"764",1992-12-02,"746.36"
"765",1992-12-03,"745.09"
"766",1992-12-04,"742.94"
"767",1992-12-07,"746.72"
"768",1992-12-08,"753.93"
"769",1992-12-09,"750.79"
"770",1992-12-10,"752.92"
"771",1992-12-11,"748.48"
"772",1992-12-14,"747.99"
"773",1992-12-15,"750.98"
"774",1992-12-16,"753.77"
"775",1992-12-17,"758.61"
"776",1992-12-18,"763.22"
"777",1992-12-21,"767.82"
"778",1992-12-22,"767.97"
"779",1992-12-23,"764.42"
"780",1992-12-24,"764.74"
"781",1992-12-25,"764.74"
"782",1992-12-28,"754.03"
"783",1992-12-29,"752.25"
"784",1992-12-30,"749.25"
"785",1992-12-31,"748.62"
"786",1993-01-01,"748.62"
"787",1993-01-04,"743.38"
"788",1993-01-05,"747.56"
"789",1993-01-06,"746.84"
